Date,Team,Player,Acquired,Relinquished,Notes,EstimatedDaysOut
2017-12-04,Bulls,• Antonio Blakeney,,• Antonio Blakeney,placed on IL,
2018-01-31,Bulls,• Antonio Blakeney,• Antonio Blakeney,,activated from IL,58.0
2018-02-12,Bulls,• Antonio Blakeney,,• Antonio Blakeney,placed on IL,
2018-03-09,Bulls,• Antonio Blakeney,• Antonio Blakeney,,activated from IL,25.0
2018-03-22,Bulls,• Antonio Blakeney,,• Antonio Blakeney,fractured left wrist (out for season),
2018-03-23,Bulls,• Antonio Blakeney,,• Antonio Blakeney,placed on IL with fractured left wrist (out for season),
2018-02-22,Hawks,• Antonius Cleveland,,• Antonius Cleveland,left ankle injury (DTD),
2018-02-26,Hawks,• Antonius Cleveland,,• Antonius Cleveland,placed on IL with left ankle injury,
2018-04-03,Hawks,• Antonius Cleveland,• Antonius Cleveland,,activated from IL,36.0
2020-01-20,Wizards,• Anzejs Pasecniks,,• Anzejs Pasecniks,placed on IL with sprained left ankle,
2020-01-23,Wizards,• Anzejs Pasecniks,• Anzejs Pasecniks,,activated from IL,3.0
2020-02-11,Wizards,• Anzejs Pasecniks,,• Anzejs Pasecniks,left hip injury (DTD),
2020-02-12,Wizards,• Anzejs Pasecniks,• Anzejs Pasecniks,,returned to lineup,1.0
2020-02-27,Wizards,• Anzejs Pasecniks,,• Anzejs Pasecniks,illness (DTD),
2020-02-28,Wizards,• Anzejs Pasecniks,,• Anzejs Pasecniks,placed on IL with illness,
2020-03-01,Wizards,• Anzejs Pasecniks,• Anzejs Pasecniks,,activated from IL,2.0
2020-03-08,Wizards,• Anzejs Pasecniks,,• Anzejs Pasecniks,placed on IL with stiff neck,
2020-03-10,Wizards,• Anzejs Pasecniks,• Anzejs Pasecniks,,activated from IL,2.0
2016-04-11,Suns,• Archie Goodwin,,• Archie Goodwin,sprained left ankle (DTD),
2016-04-13,Suns,• Archie Goodwin,• Archie Goodwin,,returned to lineup,2.0
2024-12-11,Knicks,• Ariel Hukporti,,• Ariel Hukporti,placed on IL with sprained left ankle,
2024-12-19,Knicks,• Ariel Hukporti,• Ariel Hukporti,,activated from IL,8.0
2025-01-25,Knicks,• Ariel Hukporti,,• Ariel Hukporti,placed on IL with illness,
2025-01-27,Knicks,• Ariel Hukporti,• Ariel Hukporti,,activated from IL,2.0
2025-02-27,Knicks,• Ariel Hukporti,,• Ariel Hukporti,placed on IL with torn meniscus in left knee,
2025-04-19,Knicks,• Ariel Hukporti,• Ariel Hukporti,,activated from IL,51.0
2016-10-29,Magic,• Arinze Onuaku,• Arinze Onuaku,,"""activated""",
2017-01-01,Magic,• Arinze Onuaku,• Arinze Onuaku,,"""activated""",
2024-12-15,Lakers,• Armel Traore,,• Armel Traore,bruised right quadriceps (DTD),
2021-04-04,Rockets,• Armoni Brooks,,• Armoni Brooks,placed on IL with NBA health and safety protocols,
2021-04-09,Rockets,• Armoni Brooks,• Armoni Brooks,,activated from IL,5.0
2021-12-18,Rockets,• Armoni Brooks,,• Armoni Brooks,placed on IL with left ankle injury,
2021-12-20,Rockets,• Armoni Brooks,• Armoni Brooks,,activated from IL,2.0
2022-01-02,Rockets,• Armoni Brooks,,• Armoni Brooks,placed on IL with NBA health and safety protocols,
2022-01-07,Rockets,• Armoni Brooks,• Armoni Brooks,,activated from IL,5.0
2022-01-09,Rockets,• Armoni Brooks,,• Armoni Brooks,placed on IL with NBA health and safety protocols,
2022-01-12,Rockets,• Armoni Brooks,• Armoni Brooks,,activated from IL,3.0
2015-12-03,Pistons,• Aron Baynes,,• Aron Baynes,surgery to repair fractured nose (did not miss any games),
2015-12-18,Pistons,• Aron Baynes,,• Aron Baynes,back spasms (DTD),
2015-12-22,Pistons,• Aron Baynes,• Aron Baynes,,returned to lineup,4.0
2016-10-15,Pistons,• Aron Baynes,,• Aron Baynes,tightness in lower back (DTD),
2016-10-19,Pistons,• Aron Baynes,,• Aron Baynes,surgery to repair fractured nose (DTD),
2016-10-26,Pistons,• Aron Baynes,• Aron Baynes,,returned to lineup (date approximate),7.0
2017-01-01,Pistons,• Aron Baynes,,• Aron Baynes,sprained left ankle (DTD),
2017-01-08,Pistons,• Aron Baynes,• Aron Baynes,,returned to lineup,7.0
2018-02-24,Celtics,• Aron Baynes,,• Aron Baynes,placed on IL with sprained left elbow,
2018-02-26,Celtics,• Aron Baynes,• Aron Baynes,,activated from IL,2.0
2018-10-21,Celtics,• Aron Baynes,,• Aron Baynes,strained right hamstring (DTD),
2018-10-22,Celtics,• Aron Baynes,,• Aron Baynes,placed on IL with strained right hamstring,
2018-10-30,Celtics,• Aron Baynes,• Aron Baynes,,activated from IL,8.0
2018-12-08,Celtics,• Aron Baynes,,• Aron Baynes,placed on IL with sprained left ankle,
2018-12-10,Celtics,• Aron Baynes,• Aron Baynes,,activated from IL,2.0
2018-12-10,Celtics,• Aron Baynes,,• Aron Baynes,sprained left ankle (DTD),
2018-12-12,Celtics,• Aron Baynes,• Aron Baynes,,returned to lineup,2.0
2018-12-20,Celtics,• Aron Baynes,,• Aron Baynes,fractured left hand (out indefinitely),
2018-12-21,Celtics,• Aron Baynes,,• Aron Baynes,placed on IL with fractured left hand,
2019-01-16,Celtics,• Aron Baynes,• Aron Baynes,,activated from IL,26.0
2019-02-03,Celtics,• Aron Baynes,,• Aron Baynes,placed on IL with bruised left foot,
2019-03-03,Celtics,• Aron Baynes,• Aron Baynes,,activated from IL,28.0
2019-03-22,Celtics,• Aron Baynes,,• Aron Baynes,sprained left ankle (DTD),
2019-03-23,Celtics,• Aron Baynes,,• Aron Baynes,placed on IL with sprained left ankle,
2019-03-24,Celtics,• Aron Baynes,• Aron Baynes,,activated from IL,1.0
2019-04-08,Celtics,• Aron Baynes,,• Aron Baynes,sore left ankle (DTD),
2019-04-09,Celtics,• Aron Baynes,,• Aron Baynes,placed on IL with sore left ankle,
2019-04-13,Celtics,• Aron Baynes,• Aron Baynes,,activated from IL,4.0
2019-11-19,Suns,• Aron Baynes,,• Aron Baynes,bruised right hip / right hip flexor injury (DTD),
2019-11-29,Suns,• Aron Baynes,• Aron Baynes,,returned to lineup,10.0
2019-12-02,Suns,• Aron Baynes,,• Aron Baynes,strained left calf (DTD),
2019-12-09,Suns,• Aron Baynes,• Aron Baynes,,returned to lineup,7.0
2020-01-20,Suns,• Aron Baynes,,• Aron Baynes,sore left hip (DTD),
2020-01-26,Suns,• Aron Baynes,,• Aron Baynes,placed on IL with sore left hip,
2020-01-31,Suns,• Aron Baynes,• Aron Baynes,,activated from IL,5.0
2020-02-10,Suns,• Aron Baynes,,• Aron Baynes,placed on IL with sore left hip,
2020-02-21,Suns,• Aron Baynes,• Aron Baynes,,activated from IL,11.0
2020-07-31,Suns,• Aron Baynes,,• Aron Baynes,conditioning (DTD),
2020-08-05,Suns,• Aron Baynes,,• Aron Baynes,placed on IL with right knee injury / conditioning,
2020-08-11,Suns,• Aron Baynes,• Aron Baynes,,activated from IL,6.0
2021-05-06,Raptors,• Aron Baynes,,• Aron Baynes,bruised left foot (DTD),
2021-05-13,Raptors,• Aron Baynes,• Aron Baynes,,returned to lineup,7.0
2015-11-04,Knicks,• Arron Afflalo,,• Arron Afflalo,placed on IL with strained left hamstring,
2015-11-11,Knicks,• Arron Afflalo,• Arron Afflalo,,activated from IL,7.0
2016-02-28,Knicks,• Arron Afflalo,,• Arron Afflalo,knee injury (DTD),
2016-03-01,Knicks,• Arron Afflalo,• Arron Afflalo,,returned to lineup,2.0
2016-03-09,Knicks,• Arron Afflalo,,• Arron Afflalo,strained right abdominal muscle (DTD),
2016-03-13,Knicks,• Arron Afflalo,• Arron Afflalo,,returned to lineup,4.0
2016-12-26,Kings,• Arron Afflalo,,• Arron Afflalo,placed on IL with sprained right elbow,
2017-01-03,Kings,• Arron Afflalo,• Arron Afflalo,,activated from IL,8.0
2017-02-03,Kings,• Arron Afflalo,,• Arron Afflalo,illness (DTD),
2017-02-04,Kings,• Arron Afflalo,• Arron Afflalo,,returned to lineup,1.0
2017-02-23,Kings,• Arron Afflalo,,• Arron Afflalo,sore left hamstring (DTD),
2017-03-01,Kings,• Arron Afflalo,• Arron Afflalo,,returned to lineup,6.0
2017-04-04,Kings,• Arron Afflalo,,• Arron Afflalo,strained lower back / hip (DTD),
2017-04-07,Kings,• Arron Afflalo,• Arron Afflalo,,returned to lineup,3.0
2017-04-11,Kings,• Arron Afflalo,,• Arron Afflalo,DNP,
2017-04-12,Kings,• Arron Afflalo,• Arron Afflalo,,returned to lineup,1.0
2017-12-13,Magic,• Arron Afflalo,,• Arron Afflalo,back spasms (DTD),
2017-12-15,Magic,• Arron Afflalo,,• Arron Afflalo,placed on IL with back spasms,
2017-12-20,Magic,• Arron Afflalo,• Arron Afflalo,,activated from IL,5.0
2018-03-02,Magic,• Arron Afflalo,,• Arron Afflalo,placed on IL,
2018-03-05,Magic,• Arron Afflalo,• Arron Afflalo,,activated from IL,3.0
2024-03-11,Pistons,• Ausar Thompson,,• Ausar Thompson,illness (DTD),
2024-03-15,Pistons,• Ausar Thompson,,• Ausar Thompson,placed on IL with illness (out for season),
2024-03-20,Pistons,• Ausar Thompson,,• Ausar Thompson,placed on IL with blood clots (out for season),
2024-10-21,Pistons,• Ausar Thompson,,• Ausar Thompson,blood clots (out indefinitely),
2024-11-11,Pistons,• Ausar Thompson,• Ausar Thompson,,returned to lineup,21.0
2024-12-07,Pistons,• Ausar Thompson,,• Ausar Thompson,placed on IL with groin injury,
2024-12-11,Pistons,• Ausar Thompson,• Ausar Thompson,,activated from IL,4.0
2025-01-06,Pistons,• Ausar Thompson,,• Ausar Thompson,placed on IL with illness,
2025-01-09,Pistons,• Ausar Thompson,• Ausar Thompson,,activated from IL,3.0
2025-04-12,Pistons,• Ausar Thompson,,• Ausar Thompson,placed on IL with knee injury,
2025-04-16,Pistons,• Ausar Thompson,• Ausar Thompson,,activated from IL,4.0
2021-11-10,Lakers,• Austin Reaves,,• Austin Reaves,strained left hamstring (DTD),
2021-11-26,Lakers,• Austin Reaves,• Austin Reaves,,returned to lineup,16.0
2021-12-17,Lakers,• Austin Reaves,,• Austin Reaves,placed on IL with NBA health and safety protocols,
2021-12-30,Lakers,• Austin Reaves,• Austin Reaves,,activated from IL,13.0
2022-12-19,Lakers,• Austin Reaves,,• Austin Reaves,placed on IL with sprained right ankle,
2022-12-23,Lakers,• Austin Reaves,• Austin Reaves,,activated from IL,4.0
2023-01-09,Lakers,• Austin Reaves,,• Austin Reaves,placed on IL with strained left hamstring,
2023-02-07,Lakers,• Austin Reaves,• Austin Reaves,,activated from IL,29.0
2024-12-01,Lakers,• Austin Reaves,,• Austin Reaves,placed on IL with bruised pelvis,
2024-12-13,Lakers,• Austin Reaves,• Austin Reaves,,activated from IL,12.0
2025-03-02,Lakers,• Austin Reaves,,• Austin Reaves,placed on IL with calf injury,
2025-03-06,Lakers,• Austin Reaves,• Austin Reaves,,activated from IL,4.0
2025-03-20,Lakers,• Austin Reaves,,• Austin Reaves,placed on IL with ankle injury,
2025-03-22,Lakers,• Austin Reaves,• Austin Reaves,,activated from IL,2.0
2025-04-12,Lakers,• Austin Reaves,,• Austin Reaves,placed on IL with ankle injury,
2025-04-16,Lakers,• Austin Reaves,• Austin Reaves,,activated from IL,4.0
2015-12-21,Clippers,• Austin Rivers,,• Austin Rivers,sprained right ankle (DTD),
2015-12-25,Clippers,• Austin Rivers,,• Austin Rivers,placed on IL,
2015-12-26,Clippers,• Austin Rivers,• Austin Rivers,,activated from IL,1.0
2015-12-26,Clippers,• Austin Rivers,,• Austin Rivers,sprained right ankle (DTD),
2015-12-28,Clippers,• Austin Rivers,• Austin Rivers,,returned to lineup,2.0
2016-02-05,Clippers,• Austin Rivers,,• Austin Rivers,fractured left hand (DTD),
2016-02-07,Clippers,• Austin Rivers,,• Austin Rivers,placed on IL with fractured left hand,
2016-03-02,Clippers,• Austin Rivers,• Austin Rivers,,activated from IL,24.0
2016-04-06,Clippers,• Austin Rivers,,• Austin Rivers,placed on IL with ankle injury / rest,
2016-04-10,Clippers,• Austin Rivers,• Austin Rivers,,activated from IL,4.0
2016-12-11,Clippers,• Austin Rivers,,• Austin Rivers,concussion (DTD),
2016-12-14,Clippers,• Austin Rivers,• Austin Rivers,,returned to lineup,3.0
2017-01-08,Clippers,• Austin Rivers,,• Austin Rivers,illness (DTD),
2017-01-11,Clippers,• Austin Rivers,• Austin Rivers,,returned to lineup,3.0
2017-03-30,Clippers,• Austin Rivers,,• Austin Rivers,strained left hamstring (DTD),
2017-04-05,Clippers,• Austin Rivers,,• Austin Rivers,placed on IL with strained left hamstring,
2017-04-15,Clippers,• Austin Rivers,,• Austin Rivers,placed on IL with strained left hamstring,
2017-04-25,Clippers,• Austin Rivers,• Austin Rivers,,activated from IL,10.0
2017-12-15,Clippers,• Austin Rivers,,• Austin Rivers,placed on IL with concussion,
2017-12-18,Clippers,• Austin Rivers,• Austin Rivers,,activated from IL,3.0
2017-12-30,Clippers,• Austin Rivers,,• Austin Rivers,strained right Achilles tendon (DTD),
2018-01-02,Clippers,• Austin Rivers,,• Austin Rivers,sore right Achilles (DTD),
2018-01-04,Clippers,• Austin Rivers,,• Austin Rivers,placed on IL with right ankle / right heel injury,
2018-02-09,Clippers,• Austin Rivers,• Austin Rivers,,activated from IL,36.0
2018-04-09,Clippers,• Austin Rivers,,• Austin Rivers,sore right elbow (out for season),
2018-12-16,Wizards,• Austin Rivers,,• Austin Rivers,placed on IL,
2018-12-25,Rockets,• Austin Rivers,• Austin Rivers,,activated from IL,9.0
2019-02-12,Rockets,• Austin Rivers,,• Austin Rivers,sore right elbow (DTD),
2019-02-21,Rockets,• Austin Rivers,• Austin Rivers,,returned to lineup,9.0
2019-04-28,Rockets,• Austin Rivers,,• Austin Rivers,placed on IL with illness,
2019-04-30,Rockets,• Austin Rivers,• Austin Rivers,,activated from IL,2.0
2019-12-09,Rockets,• Austin Rivers,,• Austin Rivers,flu (DTD),
2019-12-11,Rockets,• Austin Rivers,,• Austin Rivers,placed on IL with flu,
2019-12-13,Rockets,• Austin Rivers,• Austin Rivers,,activated from IL,2.0
2020-01-17,Rockets,• Austin Rivers,,• Austin Rivers,sprained right thumb (DTD),
2020-01-18,Rockets,• Austin Rivers,,• Austin Rivers,placed on IL with sprained right thumb,
2020-01-22,Rockets,• Austin Rivers,• Austin Rivers,,activated from IL,4.0
2020-12-22,Knicks,• Austin Rivers,,• Austin Rivers,placed on IL with sore right groin,
2020-12-31,Knicks,• Austin Rivers,• Austin Rivers,,activated from IL,9.0
2021-01-21,Knicks,• Austin Rivers,,• Austin Rivers,placed on IL with sore right Achilles,
2021-01-24,Knicks,• Austin Rivers,• Austin Rivers,,activated from IL,3.0
2021-02-21,Knicks,• Austin Rivers,,• Austin Rivers,placed on IL with illness,
2021-02-24,Knicks,• Austin Rivers,• Austin Rivers,,activated from IL,3.0
2021-12-01,Nuggets,• Austin Rivers,,• Austin Rivers,placed on IL with NBA health and safety protocols,
2021-12-17,Nuggets,• Austin Rivers,• Austin Rivers,,activated from IL,16.0
2022-01-15,Nuggets,• Austin Rivers,,• Austin Rivers,illness (DTD),
2022-01-18,Nuggets,• Austin Rivers,• Austin Rivers,,returned to lineup,3.0
2022-02-08,Nuggets,• Austin Rivers,,• Austin Rivers,placed on IL with right hip flexor injury,
2022-02-11,Nuggets,• Austin Rivers,• Austin Rivers,,activated from IL,3.0
2022-03-04,Nuggets,• Austin Rivers,,• Austin Rivers,placed on IL with illness,
2022-03-06,Nuggets,• Austin Rivers,• Austin Rivers,,activated from IL,2.0
2022-10-24,Timberwolves,• Austin Rivers,,• Austin Rivers,placed on IL with right hip injury,
2022-10-26,Timberwolves,• Austin Rivers,• Austin Rivers,,activated from IL,2.0
2022-11-09,Timberwolves,• Austin Rivers,,• Austin Rivers,illness (DTD),
2022-11-13,Timberwolves,• Austin Rivers,• Austin Rivers,,returned to lineup,4.0
2023-01-18,Timberwolves,• Austin Rivers,,• Austin Rivers,bruised left knee (DTD),
2023-03-04,Timberwolves,• Austin Rivers,,• Austin Rivers,sore neck (DTD),
2023-03-07,Timberwolves,• Austin Rivers,• Austin Rivers,,returned to lineup,3.0
2023-03-10,Timberwolves,• Austin Rivers,,• Austin Rivers,placed on IL with back spasms,
2023-03-17,Timberwolves,• Austin Rivers,• Austin Rivers,,activated from IL,7.0
2023-03-29,Timberwolves,• Austin Rivers,,• Austin Rivers,placed on IL with illness,
2023-04-09,Timberwolves,• Austin Rivers,• Austin Rivers,,activated from IL,11.0
2015-11-11,Celtics,• Avery Bradley,,• Avery Bradley,placed on IL with leg injury,
2015-11-13,Celtics,• Avery Bradley,• Avery Bradley,,activated from IL,2.0
2016-01-02,Celtics,• Avery Bradley,,• Avery Bradley,bruised left hip (DTD),
2016-01-04,Celtics,• Avery Bradley,,• Avery Bradley,placed on IL with sore left hip,
2016-01-10,Celtics,• Avery Bradley,• Avery Bradley,,activated from IL,6.0
2016-04-19,Celtics,• Avery Bradley,,• Avery Bradley,placed on IL with strained right hamstring (out for season),
2016-12-30,Celtics,• Avery Bradley,,• Avery Bradley,illness (DTD),
2017-01-03,Celtics,• Avery Bradley,• Avery Bradley,,returned to lineup,4.0
2017-01-07,Celtics,• Avery Bradley,,• Avery Bradley,placed on IL with Achilles injury / sprained ankle / illness,
2017-01-11,Celtics,• Avery Bradley,,• Avery Bradley,strained Achilles (DTD),
2017-01-16,Celtics,• Avery Bradley,• Avery Bradley,,activated from IL,5.0
2017-01-16,Celtics,• Avery Bradley,• Avery Bradley,,returned to lineup,
2017-01-18,Celtics,• Avery Bradley,,• Avery Bradley,sore right Achilles (DTD),
2017-01-21,Celtics,• Avery Bradley,,• Avery Bradley,placed on IL with sore/strained right Achilles,
2017-02-27,Celtics,• Avery Bradley,• Avery Bradley,,activated from IL,37.0
2017-03-05,Celtics,• Avery Bradley,,• Avery Bradley,placed on IL with hamstring injury / rest,
2017-03-06,Celtics,• Avery Bradley,• Avery Bradley,,activated from IL,1.0
2017-03-24,Celtics,• Avery Bradley,,• Avery Bradley,illness (DTD),
2017-03-26,Celtics,• Avery Bradley,• Avery Bradley,,returned to lineup,2.0
2017-03-31,Celtics,• Avery Bradley,,• Avery Bradley,placed on IL with gastroenteritis,
2017-04-05,Celtics,• Avery Bradley,• Avery Bradley,,activated from IL,5.0
2017-12-15,Pistons,• Avery Bradley,,• Avery Bradley,strained adductor in right groin (DTD),
2017-12-26,Pistons,• Avery Bradley,,• Avery Bradley,placed on IL with strained adductor in right groin,
